416,108,4704|393,119,4828|382,138,4897|380,157,4911|380,173,4911|388,140,4862|379,171,4918|374,192,4953|372,207,0|407,143,4769|400,177,0|394,180,0|393,174,0|423,144,0|414,176,0|406,174,0|403,168,0|435,144,0|425,167,0|418,165,0|415,160,0
417,108,4697|392,118,4835|379,139,4918|374,159,4946|373,176,4939|388,139,4862|379,170,4918|374,190,4946|371,206,0|407,142,4762|399,176,0|392,180,0|390,176,4876|424,144,0|414,176,0|405,176,0|401,170,0|435,144,0|425,167,0|417,166,0|414,161,0
411,50,0|391,58,0|382,76,4883|382,93,4883|385,105,4883|387,76,4855|380,103,4897|375,119,4939|373,130,4946|403,79,4775|397,110,4808|392,113,4835|390,109,4842|417,80,4704|411,110,4736|403,110,4775|399,103,4795|427,81,4659|420,103,4685|413,104,4723|409,98,4736
411,50,0|390,57,0|382,74,4883|382,93,4883|385,105,4876|386,75,4862|380,103,4904|375,120,4932|372,131,4953|402,78,4775|397,109,4808|391,115,4835|389,112,4849|416,80,4704|410,110,4749|402,110,4775|398,104,4795|427,80,4659|420,104,4685|412,104,4729|409,99,4736
331,55,0|308,63,5335|294,80,5427|287,97,5478|283,110,5513|290,79,5452|275,104,445|267,120,452|261,131,456|304,82,5368|297,114,5427|300,113,5401|302,105,5384|319,85,5262|313,115,5310|315,110,5302|317,101,5294|334,87,5167|326,110,5238|326,107,5238|327,100,5214
330,54,0|307,61,5335|293,78,5435|287,94,5478|283,107,5513|290,79,5452|276,105,5557|267,121,5620|261,132,5657|304,82,5368|297,114,5418|300,113,5401|302,105,5384|320,85,5262|313,114,5310|314,110,5302|316,101,5294|334,86,5167|326,110,5238|326,106,5230|327,99,5214
319,108,5278|294,120,5444|280,139,5540|275,159,5575|276,175,5548|277,140,5548|262,170,5667|254,189,5713|248,203,5761|294,144,5444|286,180,5496|290,178,5469|292,170,5452|311,147,5326|303,179,5376|305,173,5359|307,163,5351|327,148,5230|319,172,5270|318,167,5270|320,159,5270
319,107,5278|295,117,5435|280,136,5531|273,154,5584|272,170,5584|278,138,5540|263,169,5648|255,188,5704|249,202,5751|294,143,5435|286,179,5487|289,178,5469|291,170,5469|311,146,5326|303,179,5368|304,174,5368|306,164,5368|326,148,5230|318,173,5270|317,168,5278|319,160,5278
