0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1621444700.00,-0.61,-2.29,-2.29,177.45,-177.24,-80.58,1.00
1621444700.00,-0.61,-2.29,-2.29,177.57,-177.31,-80.73,1.00
1621444700.00,-0.61,-2.29,-2.29,178.02,-177.18,-81.01,1.00
1621444700.00,-0.61,-2.29,-2.29,178.55,-176.95,-81.44,1.00
1621444700.00,-0.61,-2.29,-2.29,178.76,-176.75,-81.85,1.00
1621444700.00,-0.61,-2.29,-2.29,178.62,-176.83,-81.84,1.00
1621444700.00,-0.61,-2.29,-2.29,178.79,-176.87,-82.00,1.00
1621444700.00,-0.61,-2.29,-2.29,179.00,-176.80,-82.32,1.00
1621444700.00,-0.61,-2.29,-2.29,179.20,-176.29,-82.46,1.00
1621444700.00,-0.61,-2.29,-2.28,179.55,-175.98,-82.79,1.00
1621444700.00,-0.61,-2.29,-2.28,179.55,-175.93,-82.84,1.00
1621444700.00,-0.61,-2.29,-2.28,179.67,-175.77,-82.85,1.00
1621444700.00,-0.61,-2.29,-2.28,179.67,-175.75,-82.81,1.00
1621444708.00,-0.62,-2.28,-2.29,-179.79,-171.08,-87.73,2.00
1621444708.00,-0.62,-2.28,-2.30,179.54,-171.59,-86.90,2.00
1621444708.00,-0.61,-2.29,-2.30,178.45,-172.01,-86.10,2.00
1621444708.00,-0.61,-2.29,-2.30,178.31,-172.25,-85.76,2.00
1621444708.00,-0.61,-2.29,-2.30,178.21,-172.36,-85.42,2.00
1621444708.00,-0.61,-2.29,-2.30,178.33,-172.25,-85.43,2.00
1621444708.00,-0.61,-2.29,-2.30,177.57,-172.42,-84.98,2.00
1621444708.00,-0.61,-2.29,-2.30,177.73,-172.42,-85.07,2.00
1621444708.00,-0.61,-2.29,-2.30,178.01,-172.43,-85.25,2.00
1621444708.00,-0.61,-2.29,-2.30,178.27,-172.44,-85.45,2.00
1621444708.00,-0.61,-2.29,-2.30,178.05,-172.46,-85.42,2.00
1621444708.00,-0.61,-2.29,-2.30,178.01,-172.40,-85.40,2.00
1621444711.00,-0.60,-2.29,-2.32,173.99,-172.21,-86.52,3.00
1621444711.00,-0.60,-2.29,-2.32,174.35,-172.07,-87.00,3.00
1621444711.00,-0.60,-2.29,-2.32,174.48,-171.93,-87.14,3.00
1621444711.00,-0.60,-2.28,-2.32,175.38,-171.59,-87.72,3.00
1621444711.00,-0.60,-2.26,-2.32,177.89,-171.51,-89.10,3.00
1621444713.00,-0.59,-2.27,-2.34,173.52,-171.20,-87.04,4.00
1621444713.00,-0.59,-2.27,-2.34,172.40,-171.05,-86.33,4.00
1621444713.00,-0.58,-2.28,-2.35,170.88,-173.61,-86.36,4.00
1621444713.00,-0.58,-2.28,-2.35,170.17,-174.21,-87.07,4.00
