0.00,0.00,0.00
1621444699.82,288.00,1.00
1621444699.92,289.00,1.00
1621444700.12,288.00,1.00
1621444708.14,306.00,2.00
1621444710.74,104.00,3.00
1621444710.94,99.00,3.00
1621444711.04,100.00,3.00
1621444712.84,52.00,4.00
1621444715.75,155.00,5.00
1621444715.85,77.00,5.00
1621444718.85,183.00,6.00
1621444719.06,209.00,6.00
1621444724.76,263.00,8.00
1621444728.27,221.00,9.00
1621444730.77,276.00,10.00
1621444730.87,399.00,10.00
1621444730.97,413.00,10.00
1621444731.07,432.00,10.00
1621444732.07,0.00,11.00
1621444734.98,378.00,12.00
1621444737.78,400.00,13.00
1621444738.08,389.00,13.00
1621444742.79,0.00,14.00
1621444743.09,386.00,14.00
1621444747.80,377.00,15.00
1621444748.00,355.00,15.00
1621444748.10,353.00,15.00
1621444751.91,85.00,16.00
1621444752.00,89.00,16.00
1621444754.71,299.00,17.00
1621444757.71,427.00,18.00
1621444760.72,257.00,19.00
1621444760.82,262.00,19.00
1621444761.13,263.00,19.00
1621444764.93,353.00,20.00
1621444765.13,366.00,20.00
1621444768.74,255.00,21.00
1621444769.23,263.00,21.00
1621444772.94,325.00,22.00
1621444775.85,392.00,23.00
1621444778.95,365.00,24.00
1621444783.06,418.00,25.00
1621444786.26,418.00,26.00
1621444788.77,415.00,28.00
1621444789.17,416.00,28.00
1621444791.87,408.00,29.00
1621444792.07,411.00,29.00
1621444801.79,413.00,31.00
1621444805.09,360.00,32.00
1621444807.70,315.00,33.00
1621444814.91,257.00,35.00
1621444815.21,278.00,35.00
1621444818.01,0.00,36.00
1621444821.02,0.00,37.00
1621444823.83,437.00,38.00
1621444824.23,0.00,38.00
1621444826.74,409.00,39.00
1621444826.93,409.00,39.00
1621444827.13,406.00,39.00
1621444832.74,368.00,41.00
1621444833.24,369.00,41.00
1621444836.04,337.00,42.00
1621444840.05,313.00,43.00
1621444846.86,268.00,45.00
1621444847.16,277.00,45.00
1621444850.87,444.00,46.00
1621444851.07,446.00,46.00
1621444853.97,328.00,47.00
1621444861.08,447.00,49.00
1621444864.89,390.00,50.00
1621444866.79,0.00,51.00
1621444867.30,404.00,51.00
1621444873.91,391.00,52.00
1621444876.01,364.00,53.00
1621444878.91,409.00,54.00
1621444881.72,338.00,55.00
1621444882.02,347.00,55.00
1621444884.72,214.00,56.00
1621444887.73,358.00,57.00
1621444887.83,364.00,57.00
1621444890.73,299.00,58.00
